Country,Response,Weighted_prop,Unweighted count
Serbia,Strongly agree,0.5215,528
Serbia,Somewhat agree,0.2121,205
Serbia,Neither agree nor disagree,0.1501,144
Serbia,Somewhat disagree,0.0251,24
Serbia,Strongly disagree,0.0267,20
Serbia,Don't know/Refused,0.0644,47
Sierra Leone,Strongly agree,0.829,750
Sierra Leone,Somewhat agree,0.1013,89
Sierra Leone,Neither agree nor disagree,0.0082,11
Sierra Leone,Somewhat disagree,0.019,20
Sierra Leone,Strongly disagree,0.0172,22
Sierra Leone,Don't know/Refused,0.0253,18
Singapore,Strongly agree,0.3987,318
Singapore,Somewhat agree,0.3708,319
Singapore,Neither agree nor disagree,0.1907,182
Singapore,Somewhat disagree,0.0268,17
Singapore,Strongly disagree,0.0019,2
Singapore,Don't know/Refused,0.0112,8
Slovakia,Strongly agree,0.6585,597
Slovakia,Somewhat agree,0.1445,118
Slovakia,Neither agree nor disagree,0.1236,107
Slovakia,Somewhat disagree,0.0212,16
Slovakia,Strongly disagree,0.0027,4
Slovakia,Don't know/Refused,0.0495,46
Slovenia,Strongly agree,0.468,456
Slovenia,Somewhat agree,0.3272,275
Slovenia,Neither agree nor disagree,0.1193,98
Slovenia,Somewhat disagree,0.0534,51
Slovenia,Strongly disagree,0.0261,20
Slovenia,Don't know/Refused,0.0059,6
South Africa,Strongly agree,0.6623,266
South Africa,Somewhat agree,0.1366,61
South Africa,Neither agree nor disagree,0.047,24
South Africa,Somewhat disagree,0.0497,22
South Africa,Strongly disagree,0.0579,26
South Africa,Don't know/Refused,0.0465,24
South Korea,Strongly agree,0.2348,226
South Korea,Somewhat agree,0.4648,406
South Korea,Neither agree nor disagree,0.2321,184
South Korea,Somewhat disagree,0.017,14
South Korea,Strongly disagree,0.0075,5
South Korea,Don't know/Refused,0.0438,48
Spain,Strongly agree,0.5986,627
Spain,Somewhat agree,0.1995,193
Spain,Neither agree nor disagree,0.1331,115
Spain,Somewhat disagree,0.0272,21
Spain,Strongly disagree,0.0314,25
Spain,Don't know/Refused,0.0101,7
Sri Lanka,Strongly agree,0.5577,548
Sri Lanka,Somewhat agree,0.315,307
Sri Lanka,Neither agree nor disagree,0.0269,28
Sri Lanka,Somewhat disagree,0.0285,23
Sri Lanka,Strongly disagree,0.0068,5
Sri Lanka,Don't know/Refused,0.0651,56
Eswatini,Strongly agree,0.6233,563
Eswatini,Somewhat agree,0.154,148
Eswatini,Neither agree nor disagree,0.117,112
Eswatini,Somewhat disagree,0.047,40
Eswatini,Strongly disagree,0.0339,26
Eswatini,Don't know/Refused,0.0247,25
Sweden,Strongly agree,0.5171,536
Sweden,Somewhat agree,0.326,312
Sweden,Neither agree nor disagree,0.1041,92
Sweden,Somewhat disagree,0.0197,16
Sweden,Strongly disagree,0.0115,9
Sweden,Don't know/Refused,0.0217,18
Switzerland,Strongly agree,0.3202,306
Switzerland,Somewhat agree,0.4464,418
Switzerland,Neither agree nor disagree,0.144,125
Switzerland,Somewhat disagree,0.0649,73
Switzerland,Strongly disagree,0.0119,14
Switzerland,Don't know/Refused,0.0126,17
Taiwan,Strongly agree,0.3116,295
Taiwan,Somewhat agree,0.4471,426
Taiwan,Neither agree nor disagree,0.1719,191
Taiwan,Somewhat disagree,0.053,59
Taiwan,Strongly disagree,0.0049,9
Taiwan,Don't know/Refused,0.0114,12
Tajikistan,Strongly agree,0.8992,827
Tajikistan,Somewhat agree,0.0479,44
Tajikistan,Neither agree nor disagree,0.0271,24
Tajikistan,Somewhat disagree,0.0011,2
Tajikistan,Strongly disagree,0.0067,7
Tajikistan,Don't know/Refused,0.018,19
Tanzania,Strongly agree,0.7915,737
Tanzania,Somewhat agree,0.1247,124
Tanzania,Neither agree nor disagree,0.0303,27
Tanzania,Somewhat disagree,0.0238,18
Tanzania,Strongly disagree,0.0188,15
Tanzania,Don't know/Refused,0.0108,15
Thailand,Strongly agree,0.7557,606
Thailand,Somewhat agree,0.1809,126
Thailand,Neither agree nor disagree,0.028,20
Thailand,Somewhat disagree,0.0129,11
Thailand,Strongly disagree,0.0096,7
Thailand,Don't know/Refused,0.0129,11
The Gambia,Strongly agree,0.8312,683
The Gambia,Somewhat agree,0.041,40
The Gambia,Neither agree nor disagree,0.0165,19
The Gambia,Somewhat disagree,0.0314,22
The Gambia,Strongly disagree,0.0207,20
The Gambia,Don't know/Refused,0.0592,42
Togo,Strongly agree,0.4723,405
Togo,Somewhat agree,0.2257,182
Togo,Neither agree nor disagree,0.0981,90
Togo,Somewhat disagree,0.0875,61
Togo,Strongly disagree,0.0345,23
Togo,Don't know/Refused,0.0819,59
Tunisia,Strongly agree,0.5747,531
Tunisia,Somewhat agree,0.2218,190
Tunisia,Neither agree nor disagree,0.1193,108
Tunisia,Somewhat disagree,0.0279,24
Tunisia,Strongly disagree,0.005,4
Tunisia,Don't know/Refused,0.0513,40
Turkey,Strongly agree,0.6696,580
Turkey,Somewhat agree,0.1984,185
Turkey,Neither agree nor disagree,0.0694,70
Turkey,Somewhat disagree,0.0174,16
Turkey,Strongly disagree,0.0184,14
Turkey,Don't know/Refused,0.0269,22
Turkmenistan,Strongly agree,0.832,744
Turkmenistan,Somewhat agree,0.0178,17
Turkmenistan,Neither agree nor disagree,0.0383,27
Turkmenistan,Somewhat disagree,0.0427,33
Turkmenistan,Strongly disagree,0.0105,9
Turkmenistan,Don't know/Refused,0.0587,44
Uganda,Strongly agree,0.6866,562
Uganda,Somewhat agree,0.1221,114
Uganda,Neither agree nor disagree,0.0469,44
Uganda,Somewhat disagree,0.0513,49
Uganda,Strongly disagree,0.085,59
Uganda,Don't know/Refused,0.0082,8
Ukraine,Strongly agree,0.296,297
Ukraine,Somewhat agree,0.2032,183
Ukraine,Neither agree nor disagree,0.354,327
Ukraine,Somewhat disagree,0.0463,49
Ukraine,Strongly disagree,0.0243,25
Ukraine,Don't know/Refused,0.0761,67
United Arab Emirates,Strongly agree,0.6501,504
United Arab Emirates,Somewhat agree,0.2019,161
United Arab Emirates,Neither agree nor disagree,0.0707,54
United Arab Emirates,Somewhat disagree,0.0187,16
United Arab Emirates,Strongly disagree,0.0152,13
United Arab Emirates,Don't know/Refused,0.0433,28
United Kingdom,Strongly agree,0.6059,597
United Kingdom,Somewhat agree,0.2506,242
United Kingdom,Neither agree nor disagree,0.1022,88
United Kingdom,Somewhat disagree,0.0153,17
United Kingdom,Strongly disagree,0.0113,8
United Kingdom,Don't know/Refused,0.0147,16
United States,Strongly agree,0.5969,611
United States,Somewhat agree,0.2438,234
United States,Neither agree nor disagree,0.0893,78
United States,Somewhat disagree,0.037,30
United States,Strongly disagree,0.0209,19
United States,Don't know/Refused,0.0122,11
Uruguay,Strongly agree,0.5297,529
Uruguay,Somewhat agree,0.2192,202
Uruguay,Neither agree nor disagree,0.1582,139
Uruguay,Somewhat disagree,0.0454,44
Uruguay,Strongly disagree,0.023,21
Uruguay,Don't know/Refused,0.0245,25
Uzbekistan,Strongly agree,0.8925,814
Uzbekistan,Somewhat agree,0.0615,51
Uzbekistan,Neither agree nor disagree,0.0199,21
Uzbekistan,Somewhat disagree,0.0078,8
Uzbekistan,Strongly disagree,0.0035,4
Uzbekistan,Don't know/Refused,0.0149,11
Venezuela,Strongly agree,0.8062,737
Venezuela,Somewhat agree,0.1293,105
Venezuela,Neither agree nor disagree,0.0336,30
Venezuela,Somewhat disagree,0.017,14
Venezuela,Strongly disagree,0.0079,6
Venezuela,Don't know/Refused,0.006,6
Vietnam,Strongly agree,0.4609,205
Vietnam,Somewhat agree,0.2721,129
Vietnam,Neither agree nor disagree,0.0948,40
Vietnam,Somewhat disagree,0.0253,11
Vietnam,Strongly disagree,0.0104,3
Vietnam,Don't know/Refused,0.1366,53
Yemen,Strongly agree,0.6601,659
Yemen,Somewhat agree,0.1547,150
Yemen,Neither agree nor disagree,0.0594,63
Yemen,Somewhat disagree,0.0168,18
Yemen,Strongly disagree,0.0154,18
Yemen,Don't know/Refused,0.0935,84
Zambia,Strongly agree,0.6738,528
Zambia,Somewhat agree,0.1181,92
Zambia,Neither agree nor disagree,0.0772,63
Zambia,Somewhat disagree,0.0441,40
Zambia,Strongly disagree,0.0374,37
Zambia,Don't know/Refused,0.0494,31
Zimbabwe,Strongly agree,0.8242,726
Zimbabwe,Somewhat agree,0.0922,88
Zimbabwe,Neither agree nor disagree,0.0558,47
Zimbabwe,Somewhat disagree,0.0095,10
Zimbabwe,Strongly disagree,0.009,7
Zimbabwe,Don't know/Refused,0.0092,8
